"name","pointx_class","lat","lon","poi_class","Entertainment","Gambling","Sports","id"
"Suzohapp",4220277,51.3421255143824,-0.264580839858364,"Entertainment",1,0,0,210
"Shooters Hill Golf Club",4240292,51.4717862895303,0.0732912319611164,"Sports",0,0,1,211
"Queens",4240294,51.5109432122606,-0.187400241077898,"Sports",0,0,1,212
"Old Isleworthians Association",4250314,51.4775213394537,-0.333962281507089,"Entertainment",1,0,0,213
"Stones Gym & Fitness Centre",4240293,51.4076862682818,-0.102012930335006,"Sports",0,0,1,214
"Michael Shilling Entertainments",4210273,51.3975989500151,0.0408017312784105,"Entertainment",1,0,0,215
"Jonh Grosse",4210273,51.4730232076569,-0.35426458904153,"Entertainment",1,0,0,216
"Raven Dive",4220280,51.4117299488431,-0.302355353807368,"Gambling",0,1,0,217
"Sahibs Ltd",4250314,51.6022189373354,-0.409694986489824,"Entertainment",1,0,0,218
"Power League Fives Ltd",4240293,51.5251947622784,0.0779482005442746,"Sports",0,0,1,219
"Acton Garden Village Association",4250314,51.5176342252874,-0.274493389575718,"Entertainment",1,0,0,220
"Cherry Lodge Golf Club",4240292,51.3101766655722,0.0542821186549002,"Sports",0,0,1,221
"Amabilino Pyro Displays",4210274,51.616096004489,-0.184339134056244,"Entertainment",1,0,0,222
"Global Artists",4210273,51.51492580577,-0.122169528686948,"Entertainment",1,0,0,223
"Criterion Theatre",4250315,51.5095386692294,-0.133962990505443,"Entertainment",1,0,0,224
