name,pointx_class,lat,lon,poi_class,Bus stop,Railway stations,Taxi rank,Underground entrance
Bus Stop (Caravan Park),10590732.0,51.64885042686447,0.112259414428504,Bus stop,1,0,0,0
Bus Stop (Coopers Close),10590732.0,51.62184346577129,0.1203520466448622,Bus stop,1,0,0,0
Bus Stop (Chapel Field Nursery),10590732.0,51.6581214002817,-0.0049427440975242,Bus stop,1,0,0,0
Bus Stop (Chapel Field Nursery),10590732.0,51.65768060682461,-0.0049331880534847,Bus stop,1,0,0,0
Bus Stop (Woodland Stables),10590732.0,51.65628398134627,-0.0052981379697516,Bus stop,1,0,0,0
Bus Stop (Woodland Stables),10590732.0,51.65614747681792,-0.0052029286812605,Bus stop,1,0,0,0
Bus Stop (Mill Lane),10590732.0,51.653962891925744,-0.0062963814832953,Bus stop,1,0,0,0
Bus Stop (Albion Terrace),10590732.0,51.647643818337485,-0.0106932924536302,Bus stop,1,0,0,0
Bus Stop (Albion Terrace),10590732.0,51.64699921744386,-0.010331234877359,Bus stop,1,0,0,0
Bus Stop (The Rabbits),10590732.0,51.64824631821456,0.1685785004709801,Bus stop,1,0,0,0
Bus Stop (The Rabbits),10590732.0,51.64796494024498,0.1682325970538437,Bus stop,1,0,0,0
Bus Stop (Gordon Cottages),10590732.0,51.64514916618744,0.1653663409506727,Bus stop,1,0,0,0
Bus Stop (Gordon Cottages),10590732.0,51.644698593597646,0.1654171418235563,Bus stop,1,0,0,0
Bus Stop (Primary School),10590732.0,51.64134192935056,0.1655462669224785,Bus stop,1,0,0,0
Bus Stop (Primary School),10590732.0,51.64108076370777,0.1660541368669142,Bus stop,1,0,0,0
Bus Stop (The Nursery),10590732.0,51.63426116859712,0.1710904990559544,Bus stop,1,0,0,0
Bus Stop (The Nursery),10590732.0,51.633272282169074,0.172531693904906,Bus stop,1,0,0,0
Bus Stop (Bournebridge Lane),10590732.0,51.63188243281901,0.1742571087246893,Bus stop,1,0,0,0
Bus Stop (Bournebridge Lane),10590732.0,51.63147939225692,0.1756250470701431,Bus stop,1,0,0,0
Bus Stop (Tysea Hill),10590732.0,51.62701445334952,0.1869992919251666,Bus stop,1,0,0,0
Bus Stop (Tysea Hill),10590732.0,51.62686757752478,0.1876424192462098,Bus stop,1,0,0,0
Bus Stop (Little Arnolds),10590732.0,51.65690244010278,0.1634253375449881,Bus stop,1,0,0,0
Bus Stop (Crowther Nurseries),10590732.0,51.65714547969621,0.1442941660667653,Bus stop,1,0,0,0
Bus Stop (Church Lane),10590732.0,51.65717955143994,0.1389751375286971,Bus stop,1,0,0,0
Bus Stop (Church Lane),10590732.0,51.657004023563616,0.1382439621295694,Bus stop,1,0,0,0
Bus Stop (Hillmans Cottages),10590732.0,51.65624221652848,0.1336538488648897,Bus stop,1,0,0,0
Bus Stop (Hillmans Cottages),10590732.0,51.656304263420125,0.1332085667522946,Bus stop,1,0,0,0
Bus Stop (Oak Farm),10590732.0,51.65631407774392,0.1296957445798376,Bus stop,1,0,0,0
